2014 Profit & Loss Statement,
"SFPC, LLC.",
"For the year ended December 31, 2014",
,
Account,2014
,
Income,
Event Income,946
Sales,99975
Sponsorship,6582
Total Income,107503
,
Cost of Goods Sold,
Visiting Artists,4000
Total Cost of Goods Sold,4000
,
Gross Profit,103503
,
Operating Expenses,
Bank Service Charges,431
General Expenses,6690
Income Tax Expense,1000
Legal Expenses,250
Office Expenses,643
Personnel - Admin,650
Postage & Delivery,20
Printing & Stationery,700
Public Event Expenses,1441
Rent,17481
"School Food, Snacks, and Drinks",1261
Travel,2085
Tuition Reimbursement,700
Wages and Salaries,66300
Total Operating Expenses,99652
,
Operating Income,3851
,
Net Income,3851
