amazon link,amazon product group,audience,cinematographer,composer,condition,conductor,country,cover color,creation date,creator,current value,dewey decimal,EAN,edition,features,format,genres,height,illustrator,ISBN,item type,key,languages,length,library of congress,location,maximum players,minimum players,net rating,no. in series,no. of items,notes,owner,pages,platform,played / read,primary synopsis,private,publisher,purchase date,purchase price,rare,rating,release date,retail price,running time,screenwriter,serial number,series,shelves,signed,stars,subtitle,theatrical debut,title,tracks,unique item key,url,used,weight,width,your image URL
4094803149,,,,,,,us,"grey, brown, tan, light brown, beige, purple, mauve, pink, white, dark grey, light grey, lavender, light blue, blue, light pink, dark purple",2014-05-22 17:35:51 +0000,,,,,,,,,0,,,Book,,,0,,,0,0,0,0,1,,,0,,0,,0,,2014-05-22 17:35:51 +0000,,0,0,,,0,,,,,0,,,,,,28D58D90-9119-4795-BC45-B281AAC8DD9E,,0,0,0,
4861008697,,,,,,,us,"grey, blue, beige, pink, tan, teal, purple, green, light pink, brown, mauve",2014-05-22 17:08:21 +0000,,,,,,,,,0,,978-4-86100-869-6,Book,,,0,,,0,0,0,0,1,,,0,,0,,0,,2014-05-22 17:08:21 +0000,,0,0,,,0,,,,,0,,,,Beyond Interaction,,CD361BA6-9488-4B7B-9793-884F4721E8A0,,0,0,0,
1934105902,Book,,,,,,us,"black, brown, dark green, grey, green, dark brown, forest green, dark grey, dark purple, white, olive green, dark blue",2014-05-22 17:22:26 +0000,,$32.29,,9781934105900,,,Paperback,"Arts & Photography, Reference",0.47,,1934105902,Book,,"English (Unknown), English (Original Language), English (Published)",9.130000000000001,,,0,0,0,0,1,,,0,,0,,0,Sternberg Press,2014-05-22 17:22:26 +0000,,0,0,2012-01-31 05:00:00 +0000,$27.38,0,,,,,0,,,,Bulletins of the Serving Library #2,,4AD139B2-974C-4B50-AB22-D7911D165BDA,,0,0.79,6.46,http://ecx.images-amazon.com/images/I/51yT0SEdueL.jpg
3943365581,Book,,,,,,us,"grey, green, white, olive green, light grey, light green, light blue, pink, pale blue, pale green, light pink, lavender, dark grey, beige",2014-05-22 17:08:18 +0000,,$38.71,,9783943365580,,,Paperback,"Arts & Photography, Reference",0.55,,3943365581,Book,,"English (Unknown), English (Original Language), English (Published)",9.210000000000001,,,0,0,0,0,1,,,200,,0,,0,Sternberg Press,2014-05-22 17:08:18 +0000,,0,0,2012-12-01 05:00:00 +0000,$38.45,0,,,,,0,,,,Bulletins of the Serving Library #4,,E2143A28-65CE-4D94-9A06-E06CBBD24AA6,,0,1.01,6.46,http://ecx.images-amazon.com/images/I/51RqPPeTyCL.jpg
,,,,,,,us,"grey, purple, blue, black, dark purple, white, lavender, pink, dark blue, light blue, navy blue, light purple, light pink, dark grey, mauve, pale blue, light grey, brown",2014-05-22 17:18:37 +0000,,,,9770961970148,,,,,0,,,Book,,,0,,,0,0,0,0,1,,,0,,0,,0,,2014-05-22 17:18:37 +0000,,0,0,,,0,,,,,0,,,,Dazed & Confused III/26,,103A26E6-FAC8-40E3-B5AB-648DAF68B87D,,0,0,0,
B008BIA9MC,CE,,,,,,us,"blue, dark blue, navy blue, grey, light blue, navy, white, sky blue, pale blue, black",2014-05-22 17:18:28 +0000,,,,0082039558868,,,Electronics,Categories,0,,,Gadget,,,0,,,0,0,0,0,1,,,0,,0,"Sooner or later, all game programmers run into coding issues that require an understanding of mathematics or physics concepts such as collision detection, 3D vectors, transformations, game theory, or basic calculus. Unfortunately, most programmers frequently have a limited understanding of these essential mathematics and physics concepts. MATHEMATICS AND PHYSICS FOR PROGRAMMERS,THIRD EDITION provides a simple but thorough grounding in the mathematics and physics topics that programmers require to write algorithms and programsusing a non-language-specific approach. Applications and examples from game programming are included throughout, and exercises follow each chapter for additional practice. The book's companion website provides sample code illustrating the mathematical and physics topics discussed in the book.",0,Cengage,2014-05-22 17:18:28 +0000,,0,0,,$14.99,0,,,,,0,,,,MATHEMATICS AND PHYSICS FOR PR,,43635B2C-457A-4D2E-B3C8-C12152981AE0,,0,4.05,0,http://ecx.images-amazon.com/images/I/41YMKGk8wTL.jpg
4568503655,Book,,,,,,us,"black, brown, dark brown, dark purple, dark green, grey",2014-05-22 21:07:20 +0000,,$35.10,,9784568503654,,,Tankobon Hardcover,Subjects,1.1,,4568503655,Book,,,8.619999999999999,,,0,0,0,0,1,,,0,,0,,0,,2014-05-22 21:07:20 +0000,,0,0,,$55.94,0,,,,,0,,,,Sabun: Sa O Toru Koto De Atarashii Nanika Ga Umareru,,899D6C7D-40C2-4AA2-B428-BD7BF5F5BD4C,,0,1.31,5.91,http://ecx.images-amazon.com/images/I/31FJxYo5KaL.jpg
,,,,,,,us,"grey, lavender, purple, light blue, light purple, blue, dark blue, navy blue, black, dark purple",2014-05-22 21:05:29 +0000,,,,,,,,,0,,,Book,,,0,,,0,0,0,0,1,,,0,,0,,0,,2014-05-22 21:05:29 +0000,,0,0,,,0,,,,,0,,,,School for Poetic Computation Spring 2014 Zine,,A68A7F09-2529-4308-89B1-1E27923DE14D,,0,0,0,
4763010298,Book,,,,,,us,"light blue, grey, pale blue, sky blue, white, blue, light grey",2014-05-22 17:10:03 +0000,,$63.67,,9784763010292,,,JP Oversized,Subjects,0.63,,4763010298,Book,,Japanese (Original Language),10.24,,,0,0,0,0,1,,,0,,0,,0,,2014-05-22 17:10:03 +0000,,0,0,,,0,,,,,0,,,,Zokusei,,01BAE9CC-2A72-4A3E-BF81-E9203759AEF8,,0,1.54,7.24,http://ecx.images-amazon.com/images/I/31PL-PEVwQL.jpg
8496263053,Book,,,,,,us,"blue, light blue, grey, white, black, sky blue, dark blue, pale blue, purple, dark purple, brown, navy blue, pink, light pink, dark grey, dark brown, periwinkle, dark green",2014-05-22 17:40:06 +0000,Marta Rojals Del Alamo,$55.00,,9788496263055,,,Hardcover,"Arts & Photography, Engineering & Transportation",1,,8496263053,Book,,"English (Unknown), English (Original Language), English (Published)",9,,,0,0,0,0,1,,,299,,0,A selection of imaginative solutions in playground design that combine the needs of creating an entertaining environment and an aesthetically pleasing public space.,0,Links Internacional,2014-05-22 17:40:06 +0000,,0,0,2005-01-01 05:00:00 +0000,$39.95,0,,,,,0,,,,Design for Fun: Playgrounds,,0BB4A2FB-8F1B-4B94-ACDC-75FCB0A5FCD7,,0,0.66,9,http://ecx.images-amazon.com/images/I/515W57EJT5L.jpg
0988927802,Book,,,,,,us,"blue, light blue, sky blue, black, dark blue, navy blue, teal, white, dark green, grey, pale blue",2014-05-22 17:37:13 +0000,Alex Allain,$34.83,,9780988927803,,,Paperback,"Computers & Technology, Reference",1.42,,0988927802,Book,,"English (Unknown), English (Original Language), English (Published)",9.130000000000001,,,0,0,0,0,1,,,536,,0,"Want to learn to code? Want to learn C++? Struggling to follow your lecturer or books and tutorials written for experts? You're not alone. As a professional C++ developer and former Harvard teaching fellow, I know what you need to know to be a great C++ programmer, and I know how to teach it, one step at a time. I know where people struggle, and why, and how to make it clear. I cover every step of the programming process, including:Getting the tools you need to program and how to use themBasic language feature like variables, loops and functionsHow to go from an idea to codeA clear, understandable explanation of pointersStrings, file IO, arrays, referencesClasses and advanced class designC++-specific programming patternsObject oriented programmingData structures and the standard template library (STL)Key concepts are reinforced with quizzes and over 75 practice problems.",0,Cprogramming.com,2014-05-22 17:37:13 +0000,,0,0,2013-04-19 04:00:00 +0000,$34.99,0,,,,,0,,,,Jumping into C++,,E01B30AA-93AC-4CFD-98F6-2F7FC92359F3,,0,2.01,7.48,http://ecx.images-amazon.com/images/I/51yTslb11qL.jpg
9063690622,Book,,,,,,us,"tan, yellow, beige, brown, olive green, green, grey, light brown, black, dark brown, blue, orange, dark green",2014-05-22 17:24:24 +0000,"Ed Annink, Ineke Schwartz",$29.61,,9789063690625,,,Perfect Paperback,Arts & Photography,0.9,,9063690622,Book,,"English (Unknown), English (Original Language), English (Published)",9.300000000000001,,,0,0,0,0,1,,,240,,0,"Tight, clean copy, inside pristine, light cover wear, Qualifies for FREE SHIPPING!!",0,Gingko Press,2014-05-22 17:24:24 +0000,,0,0,2004-06-01 04:00:00 +0000,$45.00,0,,,,,0,,,,"Bright Minds, Beautiful Ideas: Parallel Thoughts in Different Times",,781B6A77-EBDA-4B3A-883F-751F0B614D68,,0,1.4,6.6,http://ecx.images-amazon.com/images/I/41AFNTW664L.jpg
0870707965,Book,,,,,,us,"white, pink, grey, black, light blue, light pink, orange, purple, pale blue, tan, magenta, brown, red, beige, blue, green, cream, dark grey, yellow, dark purple, olive green",2014-05-22 17:24:39 +0000,"Paola Antonelli, Jamer Hunt, Alexandra Midal",$14.79,,9780870707964,,,Paperback,Arts & Photography,0.7,,0870707965,Book,,"English (Unknown), English (Original Language), English (Published)",10.4,,,0,0,0,0,1,,,208,,0,"Since the introduction of the personal computer in the early 1980s, many objects have been designed to have capabilities well beyond their immediate use or appearance. Whether openly and actively or in subtle, subliminal ways, these objects talk to us, and we have come to expect interaction with them. Contemporary designers, besides giving objects form and function, write their initial scripts--the foundation for useful and satisfying conversations. Talk to Me focuses on projects that involve such direct interaction--including interfaces, websites, video games, devices and tools, and information systems--as well as installations that establish practical, emotional, or even sensual connections to cities, companies, governmental institutions, or other individuals. The featured objects range in date from the late 1980s to today, with particular attention given to the last five years and projects currently in development. Organized thematically, Talk to Meintroduces design practices that are increasingly crucial to our world and demonstrates how rich and deep the influence of design will be on our future.",0,"The Museum of Modern Art, New York",2014-05-22 17:24:39 +0000,,0,0,2011-07-31 04:00:00 +0000,$35.00,0,,,,,0,,,,Talk to Me: Design and the Communication between People and Objects,,393BDE26-7FF2-44EC-9009-F470E59D2902,,0,2.2,9,http://ecx.images-amazon.com/images/I/51ZM2h3OLoL.jpg
1893115232,Book,,,,,,us,"blue, purple, dark blue, light blue, sky blue, grey, white, black, dark purple, beige, tan, lavender, pale blue, navy blue, peach, pink, cream, light pink, light purple, light grey",2014-05-22 20:52:29 +0000,Dan Appleman,$0.28,,9781893115231,1,,Paperback,"Computers & Technology, Reference, Science & Math",0.59,,1893115232,Book,,"French (Unknown), English (Original Language), English (Published)",10.43,,,0,0,0,0,1,,,225,,0,"Just as children must learn the alphabet before they can read, future programmers must understand certain concepts before they can write their first program. This unique book uses full-color illustrations to help you truly understand the underlying computer science on which all programming is based., , Veteran programmer Dan Appleman provides a comprehensive, easy-to-understand explanation of computer programming, starting from a basic description of what a computer language is to coverage of how Internet programming works. The book shows you how to turn ideas into code and how to use algorithms to accomplish common tasks, and describes the basic function of compilers and interpreters. What you’ll learn Who this book is for, , Curious readers of any age will find an accessible yet comprehensive explanation of a field that has revolutionized the way we live and work.",0,Apress,2014-05-22 20:52:29 +0000,,0,0,2000-05-18 04:00:00 +0000,$29.95,0,,,,,0,,(Technology in Action Series),,How Computer Programming Works,,DCBF29EC-6956-4E64-A00A-08605AA6993C,,0,1.77,8.66,http://ecx.images-amazon.com/images/I/414W92B9RAL.jpg
